Restaurant_Name,Online,Booking,Rating,Location,Cuisines,Price,Restaurant_Type
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,Yes,No,3.9,Ulsoor,"Cafe, American, Continental, Steak",800.0,Delivery
Tang of Jamaica,No,No,3.4,Kalyan Nagar,"American, Mexican, BBQ",900.0,Dine-out
Nagarjuna Chimney,No,No,4.0,Jayanagar,"Andhra, Biryani",600.0,Delivery
The Night King,No,No,3.3,Koramangala 7th Block,"North Indian, Chinese",400.0,Delivery
Safe House,No,Yes,4.1,HSR,"Continental, North Indian, Chinese, Finger Food",900.0,Drinks & nightlife
Kabab Ghar,Yes,No,3.3,BTM,"Biryani, North Indian, Kebab",600.0,Dine-out
Namak Swad Anusaar,Yes,No,3.8,Marathahalli,"North Indian, Chinese, Biryani, Rolls",400.0,Dine-out
Chaatimes,Yes,No,3.4,BTM,"Street Food, Fast Food",200.0,Dine-out
Kebarbiq,No,No,4.0,Koramangala 7th Block,"North Indian, Arabian, Mughlai, Middle Eastern, Grill",800.0,Delivery
Delight Food,Yes,No,2.7,BTM,"Andhra, Chinese, Biryani",450.0,Dine-out
Juice Fresco & Pizza,Yes,No,3.4,JP Nagar,"Beverages, Pizza",300.0,Delivery
Noodles,Yes,No,3.8,Banaswadi,"Chinese, Momos",500.0,Delivery
Swati Cafe,No,No,2.9,Shanti Nagar,"Cafe, Fast Food",500.0,Cafes
Curry with a 'K' - St. Mark's Hotel,No,No,3.9,St. Marks Road,"North Indian, Mughlai, Hyderabadi",1400.0,Dine-out
JW Kitchen - JW Marriott Bengaluru,No,Yes,4.4,Lavelle Road,"North Indian, Continental, Italian",2200.0,Buffet
Rajesh Restaurant,Yes,Yes,3.5,HSR,"North Indian, Chinese, South Indian, Continental",700.0,Dine-out
Barbeque Delight,Yes,No,3.8,Koramangala 5th Block,"Arabian, Kerala, North Indian, Chinese, BBQ",800.0,Delivery
Momoz,Yes,No,3.9,Kammanahalli,"Chinese, Momos",500.0,Dine-out
Pablo's Gastrobar,No,No,4.0,Whitefield,"Finger Food, American, Asian, Italian",1450.0,Pubs and bars
Hotel Marina,No,No,2.8,Koramangala 6th Block,"North Indian, Chinese, South Indian",400.0,Dine-out
Hotel Oottupura,No,No,3.6,Ejipura,South Indian,200.0,Delivery
Food Feast Multicusine Restaurant,No,No,3.3,Bannerghatta Road,"North Indian, Chinese, Hyderabadi",600.0,Dine-out
Wangs Kitchen,Yes,No,3.0,Marathahalli,Chinese,1000.0,Delivery
The Waffle Street,Yes,No,3.9,HSR,"Continental, Beverages, Burger, Coffee, Desserts",300.0,Delivery
Sea Spice by 7 Star,Yes,Yes,4.0,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200.0,Delivery
JukeBox,No,Yes,3.9,Koramangala 7th Block,"Continental, Parsi, Chinese, North Indian, Italian, Steak",1000.0,Pubs and bars
Tummy Fuel,Yes,No,4.2,Jayanagar,"Cafe, Beverages, Fast Food",400.0,Desserts
Desi Dhaba,Yes,No,3.3,BTM,"North Indian, Chinese",400.0,Delivery
The Good Bowl,Yes,No,3.6,Bannerghatta Road,"Italian, North Indian, Biryani",500.0,Delivery
Hotel Savaji's,No,No,3.5,Rajajinagar,South Indian,300.0,Delivery
Kerala Vibes,No,No,3.6,Jeevan Bhima Nagar,Kerala,500.0,Dine-out
Kirthi's Biryani,Yes,No,3.8,Banashankari,"Chinese, Cafe, Italian",700.0,Desserts
Bloomsbury's Global Kitchen & Bakehouse,Yes,Yes,4.5,Whitefield,"American, Cafe, Continental, French, Burger, Mexican, Desserts, Pizza",900.0,Cafes
Ayda Persian Kitchen,Yes,No,3.9,Church Street,"North Indian, Iranian",950.0,Delivery
Corprate Biriyani Adda,No,No,3.0,Whitefield,"North Indian, Chinese",500.0,Delivery
Siridhanya Upahara Darshini,Yes,No,3.4,Frazer Town,South Indian,400.0,Delivery
Lassi Shop,Yes,No,3.9,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",150.0,Delivery
DinePost9,Yes,No,3.9,Banaswadi,"North Indian, South Indian, Chinese, Continental",450.0,Delivery
C-harge by Chefkraft,No,No,3.4,Indiranagar,"Cafe, Continental",600.0,Dine-out
Behrouz Biryani,Yes,No,3.9,Banashankari,Biryani,650.0,Delivery
Natural Mumbai Kulfi,Yes,No,3.5,BTM,Ice Cream,130.0,Delivery
Bunker Restaurant,No,No,3.7,Sarjapur Road,"North Indian, South Indian, Fast Food, Momos",300.0,Dine-out
Taste Of Kerala,No,No,2.2,Residency Road,"Kerala, Seafood",600.0,Dine-out
Panda Boy,Yes,No,3.9,Kammanahalli,Chinese,550.0,Dine-out
Narmadha's Hyderabad Biriyani,No,No,3.9,BTM,"Biryani, Hyderabadi",600.0,Delivery
Mad Over Biryani,Yes,No,3.1,Koramangala 6th Block,"North Indian, Biryani",600.0,Delivery
Biryani & Kabab,No,No,3.2,Whitefield,Biryani,150.0,Dine-out
Hotel Aahaa,No,No,3.7,Bellandur,South Indian,200.0,Dine-out
Sri Devi Sagar,No,No,3.7,Banaswadi,"South Indian, North Indian, Chinese, Street Food",300.0,Dine-out
Chaipatty,No,No,3.0,Indiranagar,Cafe,700.0,Dine-out
Hatti Kaapi,Yes,No,3.8,Ulsoor,"South Indian, Beverages",200.0,Dine-out
Meghana Foods,Yes,No,4.4,Koramangala 5th Block,"Biryani, Seafood, Andhra, North Indian",600.0,Dine-out
Raaga,Yes,Yes,3.8,Indiranagar,"North Indian, Chinese, Continental",1200.0,Buffet
Desi Dhaba,No,No,3.7,Koramangala 7th Block,"North Indian, Chinese, Rolls",300.0,Dine-out
Punjab Bistro,Yes,Yes,4.4,Koramangala 7th Block,North Indian,1500.0,Delivery
Biriyani Bhatti,Yes,No,3.7,BTM,"Chinese, Hyderabadi, North Indian",400.0,Delivery
More Pizza,Yes,No,3.8,JP Nagar,Pizza,450.0,Dine-out
Desserts Tree,Yes,No,3.8,Koramangala 1st Block,"Mithai, Desserts",100.0,Delivery
Erivum Puliyum,Yes,No,3.9,Brookefield,"Kerala, South Indian, Seafood",500.0,Dine-out
Fritz Haber,Yes,No,4.1,HSR,"Ice Cream, Desserts",450.0,Desserts
GrannyzHut,Yes,No,3.4,HSR,"Bengali, North Indian",350.0,Dine-out
Beyond Elements,Yes,Yes,4.1,Whitefield,"Cafe, Italian, Pizza, North Indian",900.0,Dine-out
Sankranti,Yes,No,3.6,Marathahalli,Andhra,600.0,Dine-out
52 Wall Street,No,No,3.9,Koramangala 6th Block,"American, Continental, Finger Food",1400.0,Drinks & nightlife
Flavor of Tibet,No,No,4.0,Koramangala 5th Block,Tibetan,500.0,Dine-out
Juice Junction,Yes,No,2.8,JP Nagar,"Juices, Fast Food",150.0,Delivery
Daniyal's,Yes,No,3.1,BTM,"North Indian, Biryani, Mughlai, Kebab",800.0,Dine-out
Grubbery,Yes,No,4.1,New BEL Road,"Cafe, American, Asian, European, Steak, Salad, Desserts",700.0,Delivery
Smacznego,Yes,No,4.2,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes
Hotel Ramprasad,Yes,No,4.2,Brigade Road,"South Indian, Chinese",300.0,Delivery
Thunder Fried Chicken,Yes,No,3.6,Jeevan Bhima Nagar,"North Indian, Biryani, Mughlai, Rolls",350.0,Dine-out
Fiddler's Green,No,Yes,3.9,Kalyan Nagar,"Continental, American, Indonesian, Asian, Thai",1200.0,Dine-out
Apsara Ice Cream,No,No,4.1,Bellandur,"Ice Cream, Desserts",200.0,Desserts
Cafe Get Hooked,Yes,No,3.6,Banaswadi,Cafe,600.0,Delivery
Chow San,Yes,No,3.0,Bannerghatta Road,"Chinese, Thai, Momos",500.0,Delivery
Kartik,No,No,3.4,Banaswadi,"Chinese, North Indian",700.0,Dine-out
Hotel Shangrila,No,No,3.7,Brigade Road,"Chinese, Thai, Momos",600.0,Dine-out
Coastal Hub,Yes,Yes,4.0,Whitefield,"Kerala, Seafood, Chinese",700.0,Dine-out
Harry's Bar + Cafe,Yes,Yes,4.2,Koramangala 7th Block,"Asian, American, Mexican",1400.0,Dine-out
Shanthi Sagar,Yes,No,4.1,Ulsoor,"South Indian, North Indian, Chinese, Juices",250.0,Dine-out
New Ambur Hot Dum Biryani,No,No,3.1,Brookefield,Biryani,300.0,Dine-out
Khawa Karpo,No,No,4.3,Koramangala 5th Block,"Chinese, Tibetan, Momos",350.0,Dine-out
Hammered,Yes,Yes,4.5,New BEL Road,"North Indian, Continental, Cafe",1200.0,Pubs and bars
Ahmad's Chicken Hut,No,No,3.2,Banaswadi,"North Indian, Chinese",200.0,Dine-out
Bistro Oui,Yes,Yes,4.1,Koramangala 5th Block,"Cafe, Continental, Salad, Steak",1200.0,Cafes
A2B - Adyar Ananda Bhavan,Yes,No,3.6,Ulsoor,"South Indian, North Indian, Chinese, Street Food, Fast Food",400.0,Dine-out
Flavors of India,Yes,No,3.6,Marathahalli,"North Indian, Chinese, Andhra",800.0,Dine-out
Amritsari Kulcha Bite,Yes,No,3.9,Ulsoor,North Indian,150.0,Delivery
Ishta Upahar,Yes,No,3.5,Ulsoor,South Indian,100.0,Delivery
The Vacationer's Cafe,Yes,No,4.1,Koramangala 7th Block,"Cafe, Continental, Mexican",600.0,Delivery
SGS Non Veg - Gundu Pulav,Yes,No,3.9,St. Marks Road,"Biryani, Fast Food",400.0,Dine-out
Kumbakonam Degree Coffee,Yes,No,3.8,Indiranagar,"South Indian, Fast Food",200.0,Dine-out
Bengaluru Cafe,No,No,4.5,Jayanagar,South Indian,150.0,Dine-out
Cooking Mom,Yes,No,2.9,Bellandur,"North Indian, Andhra",800.0,Delivery
The Little Kitchen,Yes,No,3.4,JP Nagar,"Chinese, North Indian",300.0,Delivery
Thanco's Natural Ice Creams,No,No,3.2,Banashankari,Ice Cream,300.0,Desserts
Shawarma King Restaurant,Yes,No,3.4,Kammanahalli,"Arabian, Chinese, North Indian",500.0,Delivery
Pizza Hut,Yes,No,3.7,"ITPL Main Road, Whitefield",Pizza,750.0,Delivery
Misal Darbar,Yes,No,3.0,Indiranagar,Maharashtrian,200.0,Delivery
Whitefield Social,Yes,No,4.1,Whitefield,"American, North Indian, Chinese, Finger Food, Momos",1500.0,Dine-out
Litti Twist,Yes,No,4.2,Hosur Road,"Bihari, North Indian",300.0,Delivery
Stoner,Yes,No,4.5,Koramangala 5th Block,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500.0,Desserts
Cool Corner Arun Ice Cream,No,No,3.5,Frazer Town,"Desserts, Ice Cream",200.0,Delivery
Chitu's Kitchen,No,No,3.5,Indiranagar,"North Indian, Chinese",450.0,Delivery
Hotel Empark,Yes,No,3.4,Wilson Garden,"Chinese, North Indian, Arabian",800.0,Delivery
Zangos Grill,Yes,No,4.0,Koramangala 1st Block,"BBQ, Fast Food",300.0,Delivery
Kaulige Millet Corner,Yes,No,4.0,Brigade Road,"Healthy Food, South Indian",300.0,Delivery
Dhang Ka Khana,Yes,No,3.7,Ejipura,North Indian,200.0,Dine-out
Samrat Regency Bar And Restaurant,No,No,3.8,Koramangala 6th Block,"North Indian, Chinese",800.0,Dine-out
Venkateshwara Foods,Yes,No,3.0,Residency Road,"Street Food, South Indian",400.0,Delivery
Nakkala's Food Hunt,Yes,No,2.4,Marathahalli,"North Indian, Chinese",600.0,Delivery
Foodmazic,No,No,3.7,Kaggadasapura,"BBQ, Beverages, Burger, Rolls, Tea",200.0,Delivery
Abhiruchi Andhra Mess,Yes,No,3.2,Whitefield,"Andhra, Biryani, South Indian",300.0,Delivery
Soup'ermanz Kitchen,Yes,No,4.1,HSR,"Cafe, Continental, Burger",750.0,Delivery
Laddoos,Yes,No,3.4,BTM,"North Indian, Street Food, Mithai",250.0,Delivery
Bharathi Dosa Camp,No,No,3.2,Commercial Street,South Indian,100.0,Dine-out
CAMP TANDOOR,Yes,No,3.7,Ulsoor,North Indian,300.0,Delivery
Lakeview Milkbar,No,No,3.8,Koramangala 8th Block,"Desserts, Cafe, Fast Food",500.0,Delivery
Yeti,No,No,3.7,BTM,"Fast Food, Desserts, Ice Cream",300.0,Desserts
Juicy & Spicy,Yes,No,3.1,JP Nagar,"Bakery, Fast Food",150.0,Delivery
Swathi Spice n Ice,Yes,No,3.5,HSR,"Andhra, North Indian, Chinese",700.0,Dine-out
Sai Shiv Sagar,No,No,2.8,Bannerghatta Road,"South Indian, North Indian",300.0,Dine-out
Gundappa Donne Biryani,No,No,3.7,St. Marks Road,Biryani,300.0,Delivery
Woody's,Yes,No,2.6,JP Nagar,"Chinese, South Indian, North Indian",650.0,Delivery
Meghana Biryani,Yes,No,2.3,Bellandur,North Indian,800.0,Delivery
Malabar Cafe,Yes,No,3.3,Bannerghatta Road,"South Indian, Kerala, Biryani",400.0,Dine-out
Joey's,No,No,3.7,BTM,"Chinese, Fast Food",300.0,Dine-out
Sanman Veg,No,No,3.5,Cunningham Road,"South Indian, North Indian, Chinese",250.0,Dine-out
Chef Delicacies,Yes,No,3.1,BTM,"Kebab, Rolls",400.0,Delivery
BBQ Ride 46,Yes,No,3.4,South Bangalore,BBQ,200.0,Delivery
Cafe 58,No,No,3.4,BTM,"Fast Food, Biryani",200.0,Dine-out
Dev's Gugababa,Yes,No,3.5,BTM,"Bengali, North Indian, Chinese",500.0,Delivery
XO Belgian Waffle,Yes,No,4.3,Indiranagar,"Desserts, Beverages",400.0,Desserts
Petoo,Yes,No,4.1,Old Madras Road,"North Indian, Fast Food, Street Food",800.0,Delivery
Sai Abhiruchi,Yes,No,3.8,BTM,"Andhra, North Indian, Biryani",800.0,Delivery
Bon Baker,No,No,3.7,Whitefield,Desserts,1000.0,Delivery
Coastal Hub,Yes,Yes,4.0,Whitefield,"Kerala, Seafood, Chinese",700.0,Delivery
Bademiyan Kebabs,Yes,No,3.8,Malleshwaram,"Kebab, Hyderabadi, Biryani, Charcoal Chicken",600.0,Delivery
Kamat Restaurant,Yes,No,3.6,City Market,"South Indian, North Indian, Chinese, Desserts, Juices",400.0,Delivery
Sri Udupi Grand,No,No,3.2,Shanti Nagar,"South Indian, North Indian, Chinese",350.0,Dine-out
Imperial Restaurant,Yes,No,3.9,Indiranagar,"North Indian, Chinese, Biryani, Kebab, Juices",800.0,Delivery
Momo Rice Noodles,Yes,No,3.4,Sarjapur Road,"Chinese, Momos",600.0,Delivery
Pizza Hut,Yes,No,3.6,New BEL Road,"Pizza, Fast Food",750.0,Dine-out
Lifetree CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,No,No,3.4,Richmond Road,"North Indian, Chinese, Continental",700.0,Dine-out
Burger King,Yes,No,4.0,Indiranagar,"Burger, Fast Food, Beverages",600.0,Delivery
Pazzo,Yes,No,4.3,HSR,"American, Modern Indian, Italian, South Indian",700.0,Dine-out
KFC,Yes,No,3.2,Sarjapur Road,"Burger, Fast Food",450.0,Dine-out
The Modak,Yes,No,3.6,Bellandur,"North Indian, Street Food, Desserts, Chinese",400.0,Dine-out
Punjabi Nawabi,Yes,No,4.0,HSR,North Indian,500.0,Dine-out
Monsoon - The Park Bangalore,No,Yes,4.1,MG Road,"Italian, North Indian",3000.0,Dine-out
By Two Coffee,No,No,3.3,Basaveshwara Nagar,"South Indian, Cafe",300.0,Cafes
WAFL,Yes,No,4.0,Bannerghatta Road,"Cafe, Fast Food, Desserts, Beverages",400.0,Desserts
Kargeens,Yes,No,4.1,Koramangala 6th Block,"Cafe, Continental, Italian",600.0,Delivery
The Egg Factory,Yes,No,4.0,Whitefield,"Continental, American",750.0,Delivery
Hard Rock Cafe,No,Yes,4.5,St. Marks Road,"American, BBQ",2500.0,Dine-out
Momoz,No,No,3.9,Koramangala 5th Block,"Chinese, Momos",600.0,Delivery
Mountain Spice,Yes,No,3.9,Koramangala 8th Block,"Chinese, Nepalese, Tibetan, Momos",400.0,Dine-out
Chicken Corner,Yes,No,3.7,BTM,"Biryani, North Indian, Fast Food, Chinese",400.0,Dine-out
Third Wave Coffee Roasters,No,No,4.4,Koramangala 4th Block,"Cafe, Continental, Desserts",800.0,Dine-out
Kakatiya's,Yes,No,3.1,HSR,"South Indian, Biryani",250.0,Delivery
Punjabi Nawabi,Yes,No,4.0,Koramangala 1st Block,North Indian,500.0,Delivery
Parathe Ghar Ke,Yes,No,3.2,Bellandur,North Indian,300.0,Delivery
Pappu Chaiwalla,Yes,No,3.1,BTM,"North Indian, Momos, Rolls, Fast Food",300.0,Delivery
Tasting Room - Bengaluru Oota Company,No,No,4.0,Ulsoor,"Mangalorean, South Indian",2000.0,Dine-out
Fresh Kitchen,Yes,No,3.3,Bannerghatta Road,"North Indian, Chinese",600.0,Dine-out
Parrattha Ssinghh,Yes,No,4.1,Marathahalli,North Indian,250.0,Delivery
Bhaiyaji Food Court,No,No,3.4,MG Road,"North Indian, Mithai",300.0,Delivery
New Mangalore Lunch Home,Yes,No,3.7,Koramangala 1st Block,"Mangalorean, Chinese, North Indian",300.0,Delivery
Sai Santhi Cafe,Yes,No,3.8,Marathahalli,"South Indian, North Indian, Chinese",400.0,Delivery
China South,No,No,3.4,Brigade Road,"Chinese, Tibetan",600.0,Delivery
Amritsari Kulcha Bite,Yes,No,3.9,Ulsoor,North Indian,150.0,Dine-out
Banana Beach Bar,Yes,Yes,3.7,Koramangala 6th Block,"Continental, Chinese",1300.0,Delivery
Elmas Restaurant,Yes,No,3.4,Koramangala 7th Block,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",650.0,Delivery
WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.0,Residency Road,"Cafe, Fast Food, Desserts, Beverages",400.0,Cafes
Indus Family Restaurant,Yes,No,3.8,BTM,"North Indian, Biryani",600.0,Delivery
Pind Balluchi,Yes,Yes,4.0,Brigade Road,"North Indian, Mughlai",700.0,Dine-out
Sulaimani Chai,No,No,3.8,Koramangala 5th Block,"Fast Food, Beverages",100.0,Dine-out
Maaheshwari Chaat Wala,No,No,3.9,Ulsoor,Street Food,100.0,Dine-out
KKR Foodies,Yes,No,3.7,BTM,"Biryani, Chinese, Fast Food, North Indian",400.0,Delivery
The Good Bowl,Yes,No,3.6,Indiranagar,"Italian, North Indian, Biryani",500.0,Delivery
Nandhana Palace,No,Yes,4.1,Bannerghatta Road,"Andhra, Biryani, North Indian, Chinese",800.0,Delivery
Ging - Royal Orchid Central,Yes,Yes,4.4,MG Road,Asian,2000.0,Delivery
Taipan,Yes,No,3.5,Frazer Town,"Chinese, Momos",700.0,Dine-out
Nandhini Deluxe,No,No,3.6,Frazer Town,North Indian,600.0,Dine-out
Domino's Pizza,Yes,No,3.0,Bannerghatta Road,"Pizza, Fast Food",400.0,Delivery
Food Geek,Yes,No,3.8,Basavanagudi,"Sandwich, Fast Food, Rolls",350.0,Delivery
C. K. Mega Hot Food,Yes,No,4.0,BTM,"Chinese, Momos",600.0,Dine-out
White Oak Cafe,No,No,2.6,Kammanahalli,"Cafe, Fast Food",600.0,Cafes
Danny Lambas Punjabi Dhaba,Yes,No,3.5,Indiranagar,"North Indian, Chinese, Biryani",600.0,Delivery
Bahar Cafe,Yes,Yes,4.0,Marathahalli,"Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian",750.0,Delivery
Meghana Foods Grand,Yes,No,4.2,Marathahalli,"Biryani, Seafood, Andhra, North Indian",600.0,Delivery
Hotel Sakti Saravana,Yes,No,3.8,Electronic City,"Tamil, South Indian",350.0,Delivery
Combo Box,Yes,No,3.0,Koramangala 7th Block,"North Indian, Biryani, Chinese",500.0,Delivery
The Food Dude,Yes,No,4.0,Koramangala 6th Block,"Fast Food, Burger, Sandwich, Pizza",300.0,Delivery
Srinathji's Cafe,No,No,3.8,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",550.0,Delivery
Leia Soul Food,No,No,3.8,Frazer Town,Bakery,500.0,Delivery
What's In A Name,Yes,Yes,4.1,Koramangala 5th Block,"Finger Food, Asian, European, Italian",1200.0,Delivery
Buddha Treats,Yes,No,4.2,Brookefield,"Chinese, Thai",600.0,Delivery
Uphar Dharshni,No,No,3.6,Jayanagar,"South Indian, North Indian",150.0,Dine-out
Kolkata Famous Kati Roll,No,No,3.4,New BEL Road,Rolls,200.0,Delivery
Pizza Mane,Yes,No,3.5,Banashankari,"Pizza, Sandwich, Burger, Fast Food",150.0,Delivery
Cafe Graffiters,Yes,No,3.8,Koramangala 5th Block,"Cafe, Continental, Beverages",600.0,Cafes
Nagas,Yes,No,3.0,HSR,"Andhra, Hyderabadi, North Indian",300.0,Delivery
Cooking Mom,Yes,No,2.9,Bellandur,"North Indian, Andhra",800.0,Dine-out
Galito's,Yes,No,4.6,Bannerghatta Road,"African, Burger",1000.0,Dine-out
Hotel Mirchi Red,No,No,3.0,BTM,"North Indian, Chinese",400.0,Dine-out
Murphy's Brewhouse - The Paul Bangalore,No,Yes,4.3,Domlur,"Continental, North Indian, Finger Food",1700.0,Drinks & nightlife
Mandarin Box,No,No,3.9,Church Street,Chinese,500.0,Dine-out
Cafe Mangii,Yes,Yes,4.3,Lavelle Road,"Italian, Continental, Pizza",1600.0,Buffet
Meal In A Box,No,No,3.6,Koramangala 7th Block,Street Food,300.0,Delivery
The Bakery World,No,No,3.7,Basavanagudi,"Bakery, Desserts",250.0,Desserts
Rooftop Cafe,Yes,No,4.1,Jayanagar,"Cafe, Fast Food, Beverages",400.0,Delivery
4Foodiez,Yes,No,3.6,Electronic City,"South Indian, North Indian, Chinese",300.0,Dine-out
Hunger Camp,No,Yes,4.6,JP Nagar,"North Indian, South Indian, Chinese, Seafood",1300.0,Dine-out
Goli Vada Pav No. 1,Yes,No,3.6,Ulsoor,Street Food,200.0,Delivery
Melt,No,No,4.0,BTM,"Continental, Steak, Fast Food",1000.0,Dine-out
Cafe Imroze,Yes,No,3.6,Infantry Road,"Cafe, Burger, Italian, Fast Food",650.0,Cafes
Tiwari's,Yes,No,3.8,Jayanagar,"North Indian, Street Food",200.0,Delivery
Mojo Pizza - 2X Toppings,Yes,No,4.4,Koramangala 6th Block,Pizza,600.0,Delivery
Zhangs Classic,Yes,No,2.6,Bannerghatta Road,"Italian, Chinese, Japanese",600.0,Delivery
Puchkas,Yes,No,4.1,Marathahalli,"Street Food, North Indian",200.0,Dine-out
Crazy Crush - Juices & Desserts Cafe,Yes,No,3.5,Whitefield,"Beverages, Ice Cream, Fast Food",300.0,Delivery
All Saints Bakery,No,No,3.6,Brigade Road,Bakery,200.0,Delivery
Ice Berg,Yes,No,3.3,Kammanahalli,Fast Food,300.0,Dine-out
Navrang Kabab Korner,Yes,No,3.7,Rajajinagar,"North Indian, Mughlai, Biryani, Chinese, Kebab",600.0,Dine-out
Via Milano,Yes,Yes,4.2,Koramangala 4th Block,"Salad, Italian, Desserts, Pizza",1500.0,Dine-out
Fiero! Pizzeria,Yes,No,4.0,Koramangala 6th Block,"Italian, Fast Food, Pizza",400.0,Dine-out
The Fixx,No,Yes,4.3,Koramangala 4th Block,"Continental, South Indian, Italian, North Indian, Chinese",1200.0,Dine-out
Banarasi Chat Centre,No,No,3.2,Kammanahalli,Street Food,150.0,Dine-out
Mugs N Burgers,Yes,Yes,4.0,Brookefield,"Cafe, Burger, Chinese, Fast Food, Beverages",600.0,Cafes
DeliBox.in,Yes,No,3.7,BTM,South Indian,150.0,Delivery
Tomago Roast,Yes,No,3.5,BTM,"Fast Food, Beverages",400.0,Dine-out
Make It Roll,Yes,No,3.8,HSR,"Rolls, Salad, Sandwich",400.0,Dine-out
Black Rock Cafe,Yes,No,3.5,Marathahalli,Cafe,500.0,Cafes
Shree Guru Sagar Fast Food,Yes,No,3.6,Rajajinagar,"North Indian, South Indian, Chinese",300.0,Dine-out
Eatsaa,No,No,3.5,New BEL Road,Chinese,300.0,Dine-out
Deja Vu Resto Bar,Yes,Yes,4.4,Bannerghatta Road,"North Indian, Italian",900.0,Delivery
Budget Food,No,Yes,3.5,Old Airport Road,"North Indian, Biryani",700.0,Dine-out
Rolls On Wheels,No,No,3.5,Marathahalli,"Fast Food, Rolls, Momos",300.0,Delivery
Dyu Art Cafe,No,No,4.5,Koramangala 5th Block,"Cafe, Italian, Fast Food",800.0,Cafes
Red Rhino,Yes,Yes,4.4,Whitefield,"Continental, Mediterranean, South Indian, North Indian, Asian",1700.0,Delivery
Blue Berry Restaurant,No,No,2.9,BTM,"North Indian, Kerala, Chinese",600.0,Dine-out
Little Italy,Yes,Yes,4.3,Indiranagar,"Italian, Pizza, Mexican",1400.0,Buffet
Sankranthi Veg Restaurant,Yes,No,3.0,BTM,"South Indian, North Indian, Chinese",600.0,Delivery
Rayalaseema Ruchulu,Yes,No,3.2,New BEL Road,"Andhra, North Indian",700.0,Delivery
Tipsy Bull - The Bar Exchange,Yes,Yes,4.4,Bellandur,"North Indian, Chinese, Continental, Mexican",1400.0,Delivery
Bombay Kulfis,Yes,No,3.9,Koramangala 5th Block,Ice Cream,200.0,Desserts
The Open Box,Yes,Yes,4.2,St. Marks Road,"European, North Indian, Mediterranean, Asian, Salad",1400.0,Dine-out
Lazio Steaks & More,Yes,No,4.0,Frazer Town,"Continental, Chinese, Steak",1000.0,Delivery
Lazeez,Yes,No,3.1,Koramangala 5th Block,"North Indian, Mughlai, Biryani",600.0,Delivery
The Rasaganga,Yes,No,3.6,Bellandur,"South Indian, North Indian, Chinese, Street Food",500.0,Delivery
The Sanctuary,No,No,3.9,Banaswadi,"Cafe, Fast Food",450.0,Cafes
Talk Ease,No,No,3.1,City Market,Cafe,200.0,Dine-out
Natural Ice Cream,No,No,4.3,Sarjapur Road,"Ice Cream, Desserts",150.0,Dine-out
The Vape,Yes,No,4.0,HSR,"Asian, Beverages",800.0,Delivery
Lassi Corner,Yes,No,3.5,Koramangala 5th Block,"Beverages, Desserts",150.0,Desserts
Baskin Robbins,No,No,4.1,Koramangala 7th Block,"Ice Cream, Desserts",250.0,Desserts
Chai Makhani,Yes,No,3.5,Koramangala 5th Block,"Beverages, Tea",100.0,Delivery
Pablo's Gastrobar,No,No,4.0,Whitefield,"Finger Food, American, Asian, Italian",1450.0,Dine-out
Meenu Oota Da Maane,Yes,No,3.0,Brigade Road,"Seafood, Mangalorean, Chinese",700.0,Delivery
Ambur Star Briyani,No,No,2.8,HSR,"Biryani, Kebab",500.0,Dine-out
The Farm House Bar n Grill,No,No,3.7,Whitefield,"North Indian, Continental",800.0,Delivery
Driven Cafe,Yes,No,3.6,Residency Road,"Cafe, Beverages, Fast Food",600.0,Cafes
Chilli N Chicken,No,No,3.2,JP Nagar,Andhra,400.0,Delivery
Siddiqu Kabab Center,No,No,4.4,Richmond Road,"Kebab, Rolls",250.0,Dine-out
Desi Inn,Yes,No,3.5,Shanti Nagar,North Indian,300.0,Delivery
99 Pancakes,Yes,No,4.1,Church Street,"Desserts, Ice Cream",150.0,Desserts
Pinxx - Royal Orchid Central,Yes,Yes,3.8,MG Road,"Italian, European",1600.0,Dine-out
Navami,Yes,No,3.5,Jayanagar,"Andhra, North Indian, Chinese, Mangalorean, Seafood, Biryani",750.0,Delivery
Kamakshi Kitchen,Yes,No,3.7,Marathahalli,"Chinese, South Indian",350.0,Delivery
Treatley,Yes,No,3.3,Whitefield,"North Indian, Fast Food",500.0,Delivery
Lassi Shop,Yes,No,3.5,Banashankari,"Beverages, Ice Cream, Fast Food",300.0,Delivery
Chaatimes,Yes,No,3.9,Malleshwaram,"Street Food, Fast Food",200.0,Delivery
eat.fit,Yes,No,4.6,BTM,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0,Delivery
